race_id,race_date,track_name,race_number,grade,dividends,finish_position,frame_number,horse_number,horse_name,horse_id,sex_age,weight,jockey_name,finish_time,margin,popularity,odds,last_3f_time,passing_order,track_name_encoded,grade_encoded,year,month,day,day_of_week,is_weekend,season,speed,recent_3_avg_speed,recent_3_finish_variance,days_since_last_race,last_race_position,is_win,recent_3_win_count,recent_5_avg_odds,speed_trend_slope,consistency_score,track_experience_count,track_wins,track_win_rate,avg_odds,avg_weight,relative_odds,weight_advantage,odds_rank,career_total_races,career_total_wins,career_win_rate,is_place,is_show,career_place_rate,career_show_rate,recent_form_score,rest_days_category,weight_normalized,finish_time_normalized,popularity_normalized,odds_normalized,last_3f_time_normalized,year_normalized,month_normalized,day_normalized,day_of_week_normalized,is_weekend_normalized,speed_normalized,recent_3_avg_speed_normalized,recent_3_finish_variance_normalized,days_since_last_race_normalized,last_race_position_normalized,is_win_normalized,recent_3_win_count_normalized,recent_5_avg_odds_normalized,speed_trend_slope_normalized,consistency_score_normalized,track_experience_count_normalized,track_wins_normalized,track_win_rate_normalized,avg_odds_normalized,avg_weight_normalized,relative_odds_normalized,weight_advantage_normalized,odds_rank_normalized,career_total_races_normalized,career_total_wins_normalized,career_win_rate_normalized,is_place_normalized,is_show_normalized,career_place_rate_normalized,career_show_rate_normalized,recent_form_score_normalized
202550010402,2025-01-04,園田,2,一般,"{'win': {'combinations': ['4'], 'payouts': [1, 880]}, 'place': {'combinations': ['4', '7', '10'], 'payouts': [260, 410, 460]}, 'bracket_quinella': {'combinations': ['4 - 7'], 'payouts': [6, 150]}, 'quinella': {'combinations': ['4 - 7'], 'payouts': [7, 560]}, 'wide': {'combinations': ['4 - 7', '4 - 10', '7 - 10'], 'payouts': [1, 240, 2, 800, 2, 210]}, 'exacta': {'combinations': ['4 → 7'], 'payouts': [22, 360]}, 'trio': {'combinations': ['4 - 7 - 10'], 'payouts': [28, 810]}, 'trifecta': {'combinations': ['4 → 7 → 10'], 'payouts': [187, 590]}}",8.0,7,8,ゴールドエッグ,2012103557.0,牡13,52.0,塩津璃菜,52.5,2.1/2,0,1.5,37.7,120.7,4,0,2025,1,4,5,1,winter,0,,,0.0,,0,,,,,0,0,0.0,1.5,53.9,0.0,1.8999999999999986,1.0,1,0,0.0,0,0,0.0,0.0,,short,-2.072213450463054,-2.3272377458893745,0.0,0.0,-0.8384601443204271,0.0,0.0,-1.3209611174685085,0.9420287251984909,1.4707347435944496,0.0,,,-0.5725623448723104,,-0.31112345493163995,,,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-1.3682926754361426,0.0,1.5593334488980581,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,
202551012103,2025-01-21,姫路,3,一般,"{'win': {'combinations': ['6'], 'payouts': [980]}, 'place': {'combinations': ['6', '5', '4'], 'payouts': [190, 120, 210]}, 'bracket_quinella': {'combinations': ['5 - 6'], 'payouts': [1, 770]}, 'quinella': {'combinations': ['5 - 6'], 'payouts': [1, 910]}, 'wide': {'combinations': ['5 - 6', '4 - 6', '4 - 5'], 'payouts': [560, 700, 370]}, 'exacta': {'combinations': ['6 → 5'], 'payouts': [4, 390]}, 'trio': {'combinations': ['4 - 5 - 6'], 'payouts': [2, 600]}, 'trifecta': {'combinations': ['6 → 5 → 4'], 'payouts': [17, 760]}}",6.0,2,2,ゴールドエッグ,2012103557.0,牡13,52.0,塩津璃菜,52.5,クビ,0,1.5,38.4,77.5,6,0,2025,1,21,1,0,winter,0,0.0,,17.0,8.0,0,0.0,1.5,,,0,0,0.0,1.5,53.6,0.0,1.6000000000000014,1.0,2,0,0.0,0,0,0.0,0.0,0.1111111111111111,normal,-2.072213450463054,-2.3272377458893745,0.0,0.0,-0.5325434777807503,0.0,0.0,0.5859792949051362,-1.0660691379141136,-0.6799322613104372,0.0,0.0,,1.9396215088048634,0.5569888332623742,-0.31112345493163995,-0.2826809548421033,0.0,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-1.677283607002437,0.0,1.313122904335209,-0.06458662404047306,0.31428757756111864,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,-0.6743378978548057
202554010509,2025-01-05,高知,9,一般,"{'win': {'combinations': ['5'], 'payouts': [110]}, 'place': {'combinations': ['5', '1'], 'payouts': [120, 170]}, 'quinella': {'combinations': ['1 - 5'], 'payouts': [260]}, 'wide': {'combinations': ['1 - 5', '2 - 5', '1 - 2'], 'payouts': [120, 170, 260]}, 'exacta': {'combinations': ['5 → 1'], 'payouts': [310]}, 'trio': {'combinations': ['1 - 2 - 5'], 'payouts': [340]}, 'trifecta': {'combinations': ['5 → 1 → 2'], 'payouts': [810]}}",2.0,1,1,シートン,2013101370.0,セ12,56.0,井上瑛太,92.4,5,0,1.5,40.5,10.6,13,0,2025,1,5,6,1,winter,0,,,0.0,,0,,,,,0,0,0.0,1.5,55.75,0.0,-0.25,1.0,1,0,0.0,1,1,1.0,1.0,,short,0.49520456303988764,-0.19477570194292196,0.0,0.0,0.38520652183828646,0.0,0.0,-1.2087881520347648,1.4440531909766419,1.4707347435944496,0.0,,,-0.5725623448723104,,-0.31112345493163995,,,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,0.537151402556025,0.0,-0.20517545380237626,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,2.1921055806035703,1.7025089090415513,2.322321770345473,1.795210720597594,
202554011908,2025-01-19,高知,8,一般,"{'win': {'combinations': ['2'], 'payouts': [210]}, 'place': {'combinations': ['2', '7', '8'], 'payouts': [100, 110, 130]}, 'quinella': {'combinations': ['2 - 7'], 'payouts': [370]}, 'wide': {'combinations': ['2 - 7', '2 - 8', '7 - 8'], 'payouts': [160, 210, 220]}, 'exacta': {'combinations': ['2 → 7'], 'payouts': [520]}, 'trio': {'combinations': ['2 - 7 - 8'], 'payouts': [530]}, 'trifecta': {'combinations': ['2 → 7 → 8'], 'payouts': [1, 680]}}",1.0,2,2,シートン,2013101370.0,セ12,56.0,吉原寛人,91.9,nan,0,1.5,40.5,2.1,13,0,2025,1,19,6,1,winter,0,0.0,,14.0,2.0,1,0.0,1.5,,,1,1,0.5,1.5,55.625,0.0,-0.375,1.0,2,1,0.5,1,1,1.0,1.0,0.3333333333333333,short,0.49520456303988764,-0.22149828394726345,0.0,0.0,0.38520652183828646,0.0,0.0,0.3616333640376486,1.4440531909766419,1.4707347435944496,0.0,0.0,,1.4962949463912445,-1.181097798035472,3.2141581875262992,-0.2826809548421033,0.0,,,0.3793834430054144,0.4452002443125021,1.529099192399612,0.0,0.4084051810700678,0.0,-0.3077631807035644,-0.06458662404047306,0.31428757756111864,0.43203103108139124,1.5535311016601756,2.1921055806035703,1.7025089090415513,2.322321770345473,1.795210720597594,1.203713731026252
202548010110,2025-01-01,名古屋,10,一般,"{'win': {'combinations': ['7'], 'payouts': [130]}, 'place': {'combinations': ['7', '6', '1'], 'payouts': [120, 190, 130]}, 'bracket_quinella': {'combinations': ['6 - 6'], 'payouts': [610]}, 'quinella': {'combinations': ['6 - 7'], 'payouts': [640]}, 'wide': {'combinations': ['6 - 7', '1 - 7', '1 - 6'], 'payouts': [250, 170, 730]}, 'exacta': {'combinations': ['7 → 6'], 'payouts': [920]}, 'trio': {'combinations': ['1 - 6 - 7'], 'payouts': [830]}, 'trifecta': {'combinations': ['7 → 6 → 1'], 'payouts': [3, 340]}}",5.0,5,5,クインザヒーロー,2013101686.0,牡12,56.0,大畑慧悟,97.3,2,0,1.5,38.0,97.5,3,0,2025,1,1,2,0,winter,0,,,0.0,,0,,,,,0,0,0.0,1.5,55.36363636363637,0.0,-0.6363636363636331,1.0,1,0,0.0,0,0,0.0,0.0,,short,0.49520456303988764,0.06710560169962439,0.0,0.0,-0.707353001517709,0.0,0.0,-1.65748001376974,-0.5640446721359624,-0.6799322613104372,0.0,,,-0.5725623448723104,,-0.31112345493163995,,,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,0.13920853614488796,0.0,-0.522264791496955,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,
202548011408,2025-01-14,名古屋,8,一般,"{'win': {'combinations': ['4'], 'payouts': [120]}, 'place': {'combinations': ['4', '6', '2'], 'payouts': [110, 200, 180]}, 'quinella': {'combinations': ['4 - 6'], 'payouts': [1, 80]}, 'wide': {'combinations': ['4 - 6', '2 - 4', '2 - 6'], 'payouts': [390, 310, 1, 0]}, 'exacta': {'combinations': ['4 → 6'], 'payouts': [1, 470]}, 'trio': {'combinations': ['2 - 4 - 6'], 'payouts': [2, 490]}, 'trifecta': {'combinations': ['4 → 6 → 2'], 'payouts': [6, 160]}}",3.0,2,2,クインザヒーロー,2013101686.0,牡12,56.0,塚本征吾,112.3,1,0,1.5,38.7,24.5,3,0,2025,1,14,1,0,winter,0,0.0,,13.0,5.0,0,0.0,1.5,,,1,0,0.0,1.5,54.75,0.0,-1.25,1.0,2,0,0.0,0,1,0.0,0.5,0.16666666666666666,short,0.49520456303988764,0.8687830618298696,0.0,0.0,-0.401436334978029,0.0,0.0,-0.19923146313107046,-1.0660691379141136,-0.6799322613104372,0.0,0.0,,1.3485194255867048,-0.3120544823865489,-0.31112345493163995,-0.2826809548421033,0.0,,,0.3793834430054144,-0.11045415743848959,-0.3233117401789457,0.0,-0.4928183693316324,0.0,-1.0258772690118811,-0.06458662404047306,0.31428757756111864,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,1.7025089090415513,-0.4820484344663122,0.5867359809405757,-0.20482499063454124
202550010811,2025-01-08,園田,11,一般,"{'win': {'combinations': ['10'], 'payouts': [120]}, 'place': {'combinations': ['10', '9', '3'], 'payouts': [100, 160, 150]}, 'bracket_quinella': {'combinations': ['7 - 7'], 'payouts': [500]}, 'quinella': {'combinations': ['9 - 10'], 'payouts': [460]}, 'wide': {'combinations': ['9 - 10', '3 - 10', '3 - 9'], 'payouts': [240, 200, 790]}, 'exacta': {'combinations': ['10 → 9'], 'payouts': [460]}, 'trio': {'combinations': ['3 - 9 - 10'], 'payouts': [910]}, 'trifecta': {'combinations': ['10 → 9 → 3'], 'payouts': [2, 220]}}",5.0,6,7,ヒロブレイブ,2013102205.0,牡12,56.0,大山真吾,95.8,クビ,0,1.5,40.6,212.1,4,0,2025,1,8,2,0,winter,0,,,0.0,,0,,,,,0,0,0.0,1.5,55.083333333333336,0.0,-0.9166666666666643,1.0,1,0,0.0,0,0,0.0,0.0,,short,0.49520456303988764,-0.013062144313400147,0.0,0.0,0.4289089027725269,0.0,0.0,-0.8722692557335334,-0.5640446721359624,-0.6799322613104372,0.0,,,-0.5725623448723104,,-0.31112345493163995,,,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-0.1494951120357442,0.0,-0.7523099972753775,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,
202551012310,2025-01-23,姫路,10,一般,"{'win': {'combinations': ['10'], 'payouts': [140]}, 'place': {'combinations': ['10', '9', '3'], 'payouts': [110, 140, 300]}, 'bracket_quinella': {'combinations': ['8 - 8'], 'payouts': [330]}, 'quinella': {'combinations': ['9 - 10'], 'payouts': [320]}, 'wide': {'combinations': ['9 - 10', '3 - 10', '3 - 9'], 'payouts': [200, 390, 740]}, 'exacta': {'combinations': ['10 → 9'], 'payouts': [380]}, 'trio': {'combinations': ['3 - 9 - 10'], 'payouts': [1, 170]}, 'trifecta': {'combinations': ['10 → 9 → 3'], 'payouts': [2, 700]}}",6.0,2,2,ヒロブレイブ,2013102205.0,牡12,56.0,大山真吾,96.0,nan,0,1.5,39.7,---,6,0,2025,1,23,3,0,winter,0,0.0,,15.0,5.0,0,0.0,1.5,,,0,0,0.0,1.5,54.7,0.0,-1.2999999999999972,1.0,2,0,0.0,0,0,0.0,0.0,0.16666666666666666,normal,0.49520456303988764,-0.002373111511663392,0.0,0.0,0.03558747436436917,0.0,0.0,0.8103252257726239,-0.06202020635781133,-0.6799322613104372,0.0,0.0,,1.644070467195784,-0.3120544823865489,-0.31112345493163995,-0.2826809548421033,0.0,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-0.5443168579260124,0.0,-1.066912359772354,-0.06458662404047306,0.31428757756111864,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,-0.20482499063454124
202548010609,2025-01-06,名古屋,9,一般,"{'win': {'combinations': ['2'], 'payouts': [230]}, 'place': {'combinations': ['2', '4', '1'], 'payouts': [100, 110, 110]}, 'quinella': {'combinations': ['2 - 4'], 'payouts': [310]}, 'wide': {'combinations': ['2 - 4', '1 - 2', '1 - 4'], 'payouts': [170, 240, 400]}, 'exacta': {'combinations': ['2 → 4'], 'payouts': [670]}, 'trio': {'combinations': ['1 - 2 - 4'], 'payouts': [440]}, 'trifecta': {'combinations': ['2 → 4 → 1'], 'payouts': [1, 880]}}",4.0,3,3,マイネルラック,2013103403.0,牡12,56.0,村上弘樹,56.4,3/4,0,1.5,36.7,65.0,3,0,2025,1,6,0,0,winter,0,,,0.0,,0,,,,,0,0,0.0,1.5,54.625,0.0,-1.375,2.0,1,0,0.0,0,0,0.0,0.0,,short,0.49520456303988764,-2.118801606255511,0.0,0.0,-1.2754839536628253,0.0,0.0,-1.096615186601021,-1.5680936036922646,-0.6799322613104372,0.0,,,-0.5725623448723104,,-0.31112345493163995,,,,,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-0.6215645908175896,0.0,-1.1284649959130693,2.95988387985481,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,
202548011610,2025-01-16,名古屋,10,一般,"{'win': {'combinations': ['5'], 'payouts': [620]}, 'place': {'combinations': ['5', '3'], 'payouts': [150, 100]}, 'quinella': {'combinations': ['3 - 5'], 'payouts': [280]}, 'wide': {'combinations': ['3 - 5', '4 - 5', '3 - 4'], 'payouts': [170, 640, 350]}, 'exacta': {'combinations': ['5 → 3'], 'payouts': [1, 50]}, 'trio': {'combinations': ['3 - 4 - 5'], 'payouts': [1, 120]}, 'trifecta': {'combinations': ['5 → 3 → 4'], 'payouts': [6, 300]}}",5.0,1,1,マイネルラック,2013103403.0,牡12,56.0,大畑雅章,56.8,ハナ,0,1.5,36.7,35.0,3,0,2025,1,16,3,0,winter,0,0.0,,10.0,4.0,0,0.0,1.5,,,1,0,0.0,1.5,54.857142857142854,0.0,-1.142857142857146,2.0,2,0,0.0,0,0,0.0,0.0,0.2,short,0.49520456303988764,-2.097423540652038,0.0,0.0,-1.2754839536628253,0.0,0.0,0.02511446773641716,-0.06202020635781133,-0.6799322613104372,0.0,0.0,,0.9051928631730859,-0.6017355876028566,-0.31112345493163995,-0.2826809548421033,0.0,,,0.3793834430054144,-0.11045415743848959,-0.3233117401789457,0.0,-0.3824644652008151,0.0,-0.9379449316680081,2.95988387985481,0.31428757756111864,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,0.0768827536976176
